Number One,Number Two,Their GCD,Time Spent(nanoseconds)
5872,8459,1,160
9034,8446,2,130
9802,4897,1,110
8828,5677,1,120
7162,7789,1,170
1161,8914,1,150
8885,7633,1,140
8546,4833,1,140
7428,5119,1,140
5835,1785,15,140
3239,9853,1,110
9974,5716,2,150
2510,4274,2,130
8134,6486,2,150
7880,4640,40,130
5365,1084,1,110
8066,1582,2,100
6261,9926,1,140
1168,1417,1,150
5979,3588,3,110
8114,3015,1,140
3678,2874,6,150
3993,6286,1,140
7537,2378,1,120
1836,1468,4,100
9461,5470,1,140
3369,8348,1,130
7066,512,2,100
4476,718,2,140
8880,1154,2,150
1006,4577,1,150
6424,1500,4,120
6090,7934,2,130
785,4324,1,130
8658,2486,2,120
6308,3564,4,140
3737,9422,1,140
8473,4008,1,140
6320,5570,10,130
1856,5629,1,120
3114,3344,2,130
5783,3620,1,150
7527,6835,1,120
106,4996,2,120
3569,7304,83,100
192,3626,2,130
5018,6101,1,150
2138,456,2,140
1449,606,3,130
976,4632,8,120
7690,8534,2,120
1131,1447,1,130
6101,7955,1,170
9916,2757,1,170
6446,1015,1,150
7278,6646,2,130
9766,8293,1,160
6966,2762,2,150
4773,4064,1,180
6512,1587,1,150
4307,8022,1,140
6456,3742,2,160
3297,9632,7,140
2840,9771,1,160
6139,7208,1,140
3040,4905,5,160
4930,9008,2,150
2542,9780,2,150
1617,2989,49,130
7079,4817,1,160
8672,2589,1,130
9952,6498,2,150
6445,7645,5,150
2973,4208,1,130
1179,2499,3,120
3571,5426,1,150
3691,7488,1,150
7024,8230,2,160
4249,9165,1,140
2465,3724,1,130
431,57,1,130
7674,5001,3,140
3117,4438,1,160
5349,2675,1,100
8768,5190,2,140
3951,1979,1,120
7571,9884,1,140
2852,9290,2,150
6730,1506,2,130
7543,4325,1,150
3741,219,3,90
4911,2168,1,160
5569,3966,1,130
226,7444,2,110
2963,5772,1,120
1024,3818,2,130
9540,4599,9,120
7781,4555,1,150
9536,2837,1,130
3219,2209,1,130
3230,4923,1,160
2608,6659,1,130
3568,8114,2,150
339,6524,1,110
1259,2091,1,140
5533,9847,1,140
6298,2235,1,140
2449,4660,1,200
7653,8917,1,120
2092,6565,1,120
4493,5516,1,160
1390,1792,2,130
5535,3294,27,120
3253,8627,1,140
103,668,1,110
4363,2444,1,140
5350,247,1,130
9207,1694,11,130
9980,9863,1,120
1758,8506,2,130
5000,5691,1,140
9858,4998,6,140
3209,1631,1,140
1632,6606,6,110
4113,401,1,140
9517,9419,1,120
1390,5430,10,130
5488,7117,1,140
9122,9020,2,110
1611,3885,3,130
1128,5079,3,110
9871,5676,1,140
949,9276,1,130
1942,5604,2,130
2900,9632,4,110
4302,1415,1,140
10,5225,5,80
6634,3003,1,140
4957,2873,1,180
5133,368,1,130
1134,9586,2,130
9648,8998,2,140
9622,5231,1,150
330,3536,2,130
3313,9529,1,140
1459,9175,1,140
8363,1740,1,130
3307,83,1,110
9218,6527,1,170
302,2046,2,110
9693,6555,3,110
1813,2949,1,140
6695,7057,1,120
6030,7998,6,160
9737,5991,1,140
4708,2124,4,150
4185,3214,1,150
8331,1716,3,130
309,478,1,120
6847,9434,1,3830
6868,4317,1,120
9164,4569,1,130
4410,8740,10,110
5341,2255,1,140
544,5375,1,120
3152,1322,2,120
1103,1980,1,160
6677,6626,1,120
2092,9692,4,160
6537,1630,1,110
5965,6879,1,120
2152,2195,1,100
3962,186,2,100
2754,4974,6,130
1049,7967,1,160
5763,8934,3,140
6484,6813,1,110
9682,3273,1,130
4689,734,1,150
7965,7861,1,120
7542,4112,2,110
8127,3549,21,130
3972,6390,6,130
8363,252,1,120
4912,8174,2,120
4775,7517,1,180
8833,268,1,120
7726,1794,2,140
2101,9043,1,130
7756,6091,1,170
8244,4031,1,130
3271,9680,1,140
7321,3194,1,150
5098,7679,1,130
5556,2023,1,150
4007,6901,1,140
4438,1660,2,120
859,3227,1,120
6168,979,1,110
3657,8559,3,120
7118,1773,1,100
1104,5959,1,150
7,5130,1,90
6080,228,76,100
5278,5685,1,130
6226,3203,1,150
9141,7839,3,110
7098,7869,3,130
8739,5404,1,190
3839,6586,1,160
9211,3749,1,160
