Number One,Number Two,Their GCD,Time Spent(nanoseconds)
3571,5426,1,130
3691,7488,1,130
7024,8230,2,140
4249,9165,1,110
2465,3724,1,120
431,57,1,110
7674,5001,3,110
3117,4438,1,120
5349,2675,1,90
8768,5190,2,130
3951,1979,1,80
7571,9884,1,120
2852,9290,2,130
6730,1506,2,110
7543,4325,1,110
3741,219,3,110
4911,2168,1,130
5569,3966,1,140
226,7444,2,100
2963,5772,1,120
1024,3818,2,120
9540,4599,9,100
7781,4555,1,110
9536,2837,1,140
3219,2209,1,160
3230,4923,1,130
2608,6659,1,140
3568,8114,2,110
339,6524,1,90
1259,2091,1,110
5533,9847,1,130
6298,2235,1,140
2449,4660,1,120
7653,8917,1,150
2092,6565,1,160
4493,5516,1,140
1390,1792,2,130
5535,3294,27,120
3253,8627,1,110
103,668,1,100
4363,2444,1,110
5350,247,1,130
9207,1694,11,130
9980,9863,1,120
1758,8506,2,140
5000,5691,1,140
9858,4998,6,110
3209,1631,1,110
1632,6606,6,100
4113,401,1,110
9517,9419,1,120
1390,5430,10,120
5488,7117,1,110
9122,9020,2,130
1611,3885,3,110
1128,5079,3,100
9871,5676,1,160
949,9276,1,160
1942,5604,2,130
2900,9632,4,120
4302,1415,1,130
10,5225,5,80
6634,3003,1,150
4957,2873,1,160
5133,368,1,130
1134,9586,2,180
9648,8998,2,160
9622,5231,1,150
330,3536,2,160
3313,9529,1,150
1459,9175,1,160
8363,1740,1,140
3307,83,1,130
9218,6527,1,160
302,2046,2,120
9693,6555,3,120
1813,2949,1,140
6695,7057,1,140
6030,7998,6,140
9737,5991,1,150
4708,2124,4,140
4185,3214,1,150
8331,1716,3,140
309,478,1,150
6847,9434,1,160
6868,4317,1,160
9164,4569,1,130
4410,8740,10,120
5341,2255,1,150
544,5375,1,150
3152,1322,2,160
1103,1980,1,140
6677,6626,1,130
2092,9692,4,160
6537,1630,1,150
5965,6879,1,130
2152,2195,1,120
3962,186,2,140
2754,4974,6,160
1049,7967,1,160
5763,8934,3,140
6484,6813,1,150
9682,3273,1,170
4689,734,1,140
7965,7861,1,160
7542,4112,2,140
8127,3549,21,130
3972,6390,6,100
8363,252,1,140
4912,8174,2,130
4775,7517,1,160
8833,268,1,140
7726,1794,2,150
2101,9043,1,160
7756,6091,1,170
8244,4031,1,140
3271,9680,1,150
7321,3194,1,160
5098,7679,1,130
5556,2023,1,180
4007,6901,1,130
4438,1660,2,120
859,3227,1,150
6168,979,1,140
3657,8559,3,130
7118,1773,1,160
1104,5959,1,150
7,5130,1,120
6080,228,76,130
5278,5685,1,150
6226,3203,1,140
9141,7839,3,150
7098,7869,3,170
8739,5404,1,170
3839,6586,1,160
9211,3749,1,160
