Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7781,4555,1,8470
9536,2837,1,5340
3219,2209,1,4160
3230,4923,1,6030
2608,6659,1,4870
3568,8114,2,6640
339,6524,1,690
1259,2091,1,2420
5533,9847,1,10280
6298,2235,1,4200
2449,4660,1,4630
7653,8917,1,14190
2092,6565,1,3970
4493,5516,1,8390
1390,1792,2,2700
5535,3294,27,6240
3253,8627,1,6050
103,668,1,250
4363,2444,1,4550
5350,247,1,540
9207,1694,11,3270
9980,9863,1,18320
1758,8506,2,3290
5000,5691,1,9320
9858,4998,6,9370
3209,1631,1,3070
1632,6606,6,3100
4113,401,1,800
9517,9419,1,17460
1390,5430,10,2700
5488,7117,1,10190
9122,9020,2,16700
1611,3885,3,3140
1128,5079,3,2140
9871,5676,1,10530
949,9276,1,1820
1942,5604,2,3680
2900,9632,4,5520
4302,1415,1,2700
10,5225,5,100
6634,3003,1,5630
4957,2873,1,5350
5133,368,1,760
1134,9586,2,2150
9648,8998,2,16880
9622,5231,1,9730
330,3536,2,760
3313,9529,1,6180
1459,9175,1,2770
8363,1740,1,3250
3307,83,1,200
9218,6527,1,12120
302,2046,2,680
9693,6555,3,12190
1813,2949,1,3420
6695,7057,1,12400
6030,7998,6,11270
9737,5991,1,11150
4708,2124,4,4030
4185,3214,1,6060
8331,1716,3,3220
309,478,1,630
6847,9434,1,12720
6868,4317,1,8090
9164,4569,1,8540
4410,8740,10,8350
5341,2255,1,4230
544,5375,1,1100
3152,1322,2,2530
1103,1980,1,2310
6677,6626,1,12290
2092,9692,4,3920
6537,1630,1,3060
5965,6879,1,11070
2152,2195,1,4040
3962,186,2,410
2754,4974,6,5170
1049,7967,1,2040
5763,8934,3,10740
6484,6813,1,12050
9682,3273,1,6690
4689,734,1,1450
7965,7861,1,14850
7542,4112,2,7840
8127,3549,21,6790
3972,6390,6,7700
8363,252,1,540
4912,8174,2,9280
4775,7517,1,9000
8833,268,1,590
7726,1794,2,3470
2101,9043,1,4130
7756,6091,1,11720
8244,4031,1,7620
3271,9680,1,6430
7321,3194,1,6040
5098,7679,1,9680
5556,2023,1,4030
4007,6901,1,7530
4438,1660,2,3190
859,3227,1,1690
6168,979,1,1960
3657,8559,3,6920
7118,1773,1,3420
1104,5959,1,2160
7,5130,1,140
6080,228,76,640
5278,5685,1,9960
6226,3203,1,6080
9141,7839,3,14980
7098,7869,3,13520
8739,5404,1,10150
3839,6586,1,7350
9211,3749,1,7080
