Number One,Number Two,Their GCD,Time Spent(nanoseconds)
7483,497,7,900
8123,4341,1,1600
5241,8078,1,1600
4657,5605,1,1300
3640,6630,130,1500
2613,866,1,1100
4314,8448,6,1200
154,5143,1,1000
7183,6569,1,1400
5583,9076,1,1400
750,2672,2,1100
5579,521,1,1100
8427,6707,1,1300
5300,9489,1,1200
6691,6927,1,1100
8691,4035,3,1400
3856,5229,1,1100
9471,4943,1,1200
1136,7914,2,900
7760,7778,2,800
6706,2354,2,1600
3840,4909,1,1300
4771,6734,13,900
4082,5168,2,1200
9956,9847,1,3600
4320,501,3,1200
8191,5244,1,1200
650,2358,2,1500
9806,6851,1,1700
3066,9219,21,900
4957,9486,1,1300
9535,220,5,1100
3641,1422,1,1600
1994,6592,2,1500
5959,6608,59,1100
4280,5285,5,1600
8580,812,4,1200
1375,8426,11,900
1299,8897,1,1100
4794,4478,2,900
4753,6182,1,900
6693,3633,3,1100
7223,644,1,1400
3460,3092,4,1100
3477,3723,3,1000
3652,7797,1,1200
9980,6609,1,2100
3608,6852,4,1300
8698,7405,1,1600
5624,9219,1,1700
6953,2475,1,1200
1930,9430,10,1200
2927,1263,1,1100
8356,8033,1,1200
565,3107,1,1100
5147,4655,1,1000
3392,9831,1,1300
3905,9461,1,1100
666,690,6,1700
1516,8880,4,1200
156,1055,1,1200
5467,9977,11,1300
8061,2944,1,1300
8510,1111,1,1400
