Number One,Number Two,Their GCD,Time Spent(nanoseconds)
5827,1627,1,26600
9643,3507,1,57000
4070,2701,37,53000
736,1592,8,12500
6316,912,4,15200
3674,1597,1,26500
5112,2518,2,52100
9443,7266,7,118400
4814,9996,2,79500
29,4841,1,900
9424,8992,16,149500
3707,6505,1,60600
5645,1110,5,18700
1634,266,38,5400
1531,3212,1,33300
5647,1010,1,16800
1141,3562,1,19000
1863,6612,3,31000
5808,9985,1,106000
3397,5681,1,55700
6519,7864,1,106100
7504,1065,1,18000
4342,4008,334,65600
1082,9205,1,18000
4013,5394,1,65500
9802,6029,1,99000
3915,2677,1,44100
5906,2017,1,42500
2425,5060,5,40600
3940,6831,1,83500
8162,9992,2,259300
3573,3480,3,57000
8379,8160,3,146700
4122,9440,2,69400
3318,1504,2,26300
1487,8066,1,26000
4460,96,4,2700
9049,5171,1,88300
6490,1706,2,29900
8602,8295,1,147400
7129,9119,1,176100
6153,7639,1,105100
2919,2783,1,47200
1611,2662,1,27700
1696,7384,8,30400
6557,3995,1,88500
9348,3583,1,59900
6504,908,4,15800
9409,8025,1,131900
2906,500,2,8900
3358,3318,2,86600
7386,4133,1,68600
1663,6302,1,28000
7120,9002,2,117000
